,CPU 1,CPU 2,CPU 3,CPU 4,IO 1,IO 2
0,P1(60), , , , , 
1,P1(59), , , , , 
2,P1(58),P2(10), , , , 
3,P1(57),P2(9), , , , 
4,P3(4),P2(8),P1(56), , , 
5,P3(3),P2(7),P1(55), , , 
6,P3(2),P4(4),P1(54),P2(6), , 
7,P3(1),P4(3),P1(53),P2(5), , 
8,P5(8),P4(2),P1(52),P2(4), ,P3(12)
9,P5(7),P4(1),P1(51),P2(3), ,P3(11)
10,P5(6),P6(24),P1(50),P2(2), ,P3(10)
11,P5(5),P6(23),P1(49),P2(1), ,P3(9)
12,P5(4),P6(22),P1(48), , ,P3(8)
13,P5(3),P6(21),P1(47), , ,P3(7)
14,P5(2),P6(20),P1(46), , ,P3(6)
15,P5(1),P6(19),P1(45), , ,P3(5)
16,P1(44),P6(18), , , ,P3(4)
17,P1(43),P6(17), , , ,P3(3)
18,P1(42),P6(16), , , ,P3(2)
19,P1(41),P6(15), , , ,P3(1)
20,P3(10),P6(14),P1(40), , ,P4(16)
21,P3(9),P6(13),P1(39), , ,P4(15)
22,P3(8),P6(12),P1(38), , ,P4(14)
23,P3(7),P6(11),P1(37), , ,P4(13)
24,P3(6),P6(10),P1(36), , ,P4(12)
25,P3(5),P6(9),P1(35), , ,P4(11)
26,P3(4),P6(8),P1(34), , ,P4(10)
27,P3(3),P6(7),P1(33), , ,P4(9)
28,P3(2),P6(6),P1(32), , ,P4(8)
29,P3(1),P6(5),P1(31), , ,P4(7)
30,P6(4), ,P1(30), , ,P4(6)
31,P6(3), ,P1(29), , ,P4(5)
32,P6(2),P1(28), , , ,P4(4)
33,P6(1),P1(27), , , ,P4(3)
34, ,P1(26), , , ,P4(2)
35, ,P1(25), , , ,P4(1)
36,P4(4),P1(24), , , ,P2(20)
37,P4(3),P1(23), , , ,P2(19)
38,P4(2),P1(22), , , ,P2(18)
39,P4(1),P1(21), , , ,P2(17)
40,P1(20), , , , ,P2(16)
41,P1(19), , , , ,P2(15)
42,P1(18), , , , ,P2(14)
43,P1(17), , , , ,P2(13)
44,P1(16), , , , ,P2(12)
45,P1(15), , , , ,P2(11)
46,P1(14), , , , ,P2(10)
47,P1(13), , , , ,P2(9)
48,P1(12), , , , ,P2(8)
49,P1(11), , , , ,P2(7)
50,P1(10), , , , ,P2(6)
51,P1(9), , , , ,P2(5)
52,P1(8), , , , ,P2(4)
53,P1(7), , , , ,P2(3)
54,P1(6), , , , ,P2(2)
55,P1(5), , , , ,P2(1)
56,P2(10),P1(4), , , ,P5(20)
57,P2(9),P1(3), , , ,P5(19)
58,P2(8),P1(2), , , ,P5(18)
59,P2(7),P1(1), , , ,P5(17)
60,P2(6), , , ,P1(18),P5(16)
61,P2(5), , , ,P1(17),P5(15)
62,P2(4), , , ,P1(16),P5(14)
63,P2(3), , , ,P1(15),P5(13)
64,P2(2), , , ,P1(14),P5(12)
65,P2(1), , , ,P1(13),P5(11)
66, , , , ,P1(12),P5(10)
67, , , , ,P1(11),P5(9)
68, , , , ,P1(10),P5(8)
69, , , , ,P1(9),P5(7)
70, , , , ,P1(8),P5(6)
71, , , , ,P1(7),P5(5)
72, , , , ,P1(6),P5(4)
73, , , , ,P1(5),P5(3)
74, , , , ,P1(4),P5(2)
75, , , , ,P1(3),P5(1)
76,P5(4), , , ,P1(2),P3(10)
77,P5(3), , , ,P1(1),P3(9)
78,P5(2),P1(36), , , ,P3(8)
79,P5(1),P1(35), , , ,P3(7)
80, ,P1(34), , ,P5(12),P3(6)
81, ,P1(33), , ,P5(11),P3(5)
82,P1(32), , , ,P5(10),P3(4)
83,P1(31), , , ,P5(9),P3(3)
84,P1(30), , , ,P5(8),P3(2)
85,P1(29), , , ,P5(7),P3(1)
86,P3(4),P1(28), , ,P5(6),P6(18)
87,P3(3),P1(27), , ,P5(5),P6(17)
88,P3(2),P1(26), , ,P5(4),P6(16)
89,P3(1),P1(25), , ,P5(3),P6(15)
90,P1(24), , , ,P5(2),P6(14)
91,P1(23), , , ,P5(1),P6(13)
92,P1(22),P5(4), , , ,P6(12)
93,P1(21),P5(3), , , ,P6(11)
94,P1(20),P5(2), , , ,P6(10)
95,P1(19),P5(1), , , ,P6(9)
96,P1(18), , , , ,P6(8)
97,P1(17), , , , ,P6(7)
98,P1(16), , , , ,P6(6)
99,P1(15), , , , ,P6(5)
100,P1(14), , , , ,P6(4)
101,P1(13), , , , ,P6(3)
102,P1(12), , , , ,P6(2)
103,P1(11), , , , ,P6(1)
104,P1(10),P6(36), , , ,P4(18)
105,P1(9),P6(35), , , ,P4(17)
106,P1(8),P6(34), , , ,P4(16)
107,P1(7),P6(33), , , ,P4(15)
108,P1(6),P6(32), , , ,P4(14)
109,P1(5),P6(31), , , ,P4(13)
110,P1(4),P6(30), , , ,P4(12)
111,P1(3),P6(29), , , ,P4(11)
112,P1(2),P6(28), , , ,P4(10)
113,P1(1),P6(27), , , ,P4(9)
114, ,P6(26), , , ,P4(8)
115, ,P6(25), , , ,P4(7)
116,P6(24), , , , ,P4(6)
117,P6(23), , , , ,P4(5)
118,P6(22), , , , ,P4(4)
119,P6(21), , , , ,P4(3)
120,P6(20), , , , ,P4(2)
121,P6(19), , , , ,P4(1)
122,P6(18),P4(2), , , ,P2(16)
123,P6(17),P4(1), , , ,P2(15)
124,P6(16), , , , ,P2(14)
125,P6(15), , , , ,P2(13)
126,P6(14), , , , ,P2(12)
127,P6(13), , , , ,P2(11)
128,P6(12), , , , ,P2(10)
129,P6(11), , , , ,P2(9)
