,Кадр 1,Кадр 2,Кадр 3,Кадр 4,Кадр 5,Новая страница,Замена
0,4,-,-,-,-,4,0
1,4,8,-,-,-,8,0
2,4,8,11,-,-,11,0
3,4,8,11,2,-,2,0
4,4,8,11,2,3,3,0
5,17,8,11,2,3,17,1
6,17,16,11,2,3,16,1
7,17,16,22,2,3,22,1
8,17,16,22,6,3,6,1
9,17,16,22,6,4,4,1
10,13,16,22,6,4,13,1
11,13,7,22,6,4,7,1
12,13,7,23,6,4,23,1
13,13,7,23,6,4,7,0
14,13,7,23,2,4,2,1
15,13,7,23,2,18,18,1
16,14,7,23,2,18,14,1
17,14,22,23,2,18,22,1
18,14,22,21,2,18,21,1
19,14,22,21,5,18,5,1
20,14,22,21,5,12,12,1
21,13,22,21,5,12,13,1
22,13,20,21,5,12,20,1
23,13,20,10,5,12,10,1
24,13,20,10,5,12,5,0
25,13,20,10,2,12,2,1
26,13,20,10,2,8,8,1
27,6,20,10,2,8,6,1
28,6,5,10,2,8,5,1
29,6,5,10,2,8,2,0
30,6,5,11,2,8,11,1
31,6,5,11,1,8,1,1
32,6,5,11,1,8,6,0
33,6,5,11,1,3,3,1
34,12,5,11,1,3,12,1
35,12,19,11,1,3,19,1
36,12,19,18,1,3,18,1
37,12,19,18,4,3,4,1
38,12,19,18,4,9,9,1
39,1,19,18,4,9,1,1
40,1,23,18,4,9,23,1
41,1,23,20,4,9,20,1
42,1,23,20,4,9,1,0
43,1,23,20,18,9,18,1
44,1,23,20,18,9,20,0
